Sakoe_Chiba,N,Time (s),,,
13,5,4353.592874,,,
13,6,4315.201935,,,
13,7,4197.67123,,,
13,8,4162.447193,,,
13,9,4132.751472,,,
13,10,3823.425537,,,
13,11,4007.659436,,,
13,12,3664.136483,,,
13,13,3614.464895,,,
13,14,3838.952024,,,
13,15,3688.552547,,,
13,16,3542.333882,,,
13,17,3046.354463,,,
13,18,3911.92978,,,
13,19,3915.743257,,,
13,20,3380.518347,,,
14,1,4613.446777,,,
14,2,4601.398841,,,
14,3,4536.940607,,,
14,4,4431.01007,,,
14,5,4351.063678,,,
14,6,4305.582446,,,
14,7,4209.483912,,,
14,8,4176.30876,,,
14,9,4139.733365,,,
14,10,3810.516718,,,
14,11,4103.580434,,,
14,12,3741.810598,,,
14,13,3634.556217,,,
14,14,3927.063553,,,
14,15,3747.098257,,,
14,16,3513.884143,,,
14,17,3393.695782,,,
14,18,3940.709746,,,
14,19,3921.736374,,,
14,20,3777.797928,,,
15,1,4592.459395,,,
15,2,4590.988121,,,
15,3,4530.862876,,,
15,4,4425.761775,,,
15,5,4454.648611,,,
15,6,4374.167103,,,
15,7,4305.202544,,,
15,8,4176.916506,,,
15,9,4139.78224,,,
15,10,3948.54984,,,
15,11,4113.027211,,,
15,12,3745.715568,,,
15,13,3687.231906,,,
15,14,4100.987252,,,
15,15,3866.442828,,,
15,16,3637.35145,,,
15,17,3560.484197,,,
15,18,3922.673021,,,
15,19,3938.301405,,,
15,20,3819.099442,,,
16,1,4607.863336,,,
16,2,4606.726084,,,
16,3,4535.651644,,,
16,4,4487.281978,,,
16,5,4430.557459,,,
16,6,4364.353975,,,
16,7,4304.444336,,,
16,8,4168.097754,,,
16,9,4227.299566,,,
16,10,4021.754332,,,
16,11,4181.99168,,,
16,12,3831.989713,,,
16,13,3854.323794,,,
16,14,4185.333975,,,
16,15,3953.625179,,,
16,16,3677.338658,,,
16,17,3573.599921,,,
16,18,3992.034594,,,
16,19,3986.894192,,,
16,20,3814.930255,,,
17,1,4598.430021,,,
17,2,4568.172975,,,
17,3,4516.598259,,,
17,4,4478.18934,,,
17,5,4423.326376,,,
17,6,4362.057729,,,
17,7,4318.673108,,,
17,8,4158.798409,,,
17,9,4234.161938,,,
17,10,4087.180918,,,
17,11,4181.403467,,,
17,12,3826.946111,,,
17,13,3840.047529,,,
17,14,4172.078736,,,
17,15,4086.282013,,,
17,16,3782.488837,,,
17,17,3540.828714,,,
17,18,3989.382647,,,
17,19,3988.288621,,,
17,20,3801.510938,,,
18,1,4592.639935,,,
18,2,4593.46534,,,
18,3,4541.165115,,,
18,4,4478.074827,,,
18,5,4503.364031,,,
18,6,4365.814896,,,
18,7,4297.498174,,,
18,8,4173.000412,,,
18,9,4218.602042,,,
18,10,4078.844389,,,
18,11,4172.341299,,,
18,12,3921.687638,,,
18,13,3847.748801,,,
18,14,4178.109935,,,
18,15,4100.569263,,,
18,16,3782.425059,,,
18,17,3651.09368,,,
18,18,3982.880853,,,
18,19,3992.83358,,,
18,20,3851.082757,,,
19,1,4614.695721,,,
19,2,4602.483707,,,
19,3,4532.783607,,,
19,4,4496.095732,,,
19,5,4490.704688,,,
19,6,4356.127823,,,
19,7,4283.991495,,,
19,8,4174.290793,,,
19,9,4200.894923,,,
19,10,4089.383158,,,
19,11,4159.79354,,,
19,12,3966.41278,,,
19,13,3863.352214,,,
19,14,4165.459331,,,
19,15,4092.274431,,,
19,16,3782.270446,,,
19,17,3655.746108,,,
19,18,3987.463412,,,
19,19,3982.874266,,,
19,20,3796.356449,,,
20,1,4612.223206,,,
20,2,4619.544599,,,
20,3,4543.566975,,,
20,4,4494.342958,,,
20,5,4489.246279,,,
20,6,4355.624132,,,
20,7,4294.720162,,,
20,8,4159.878958,,,
20,9,4221.712608,,,
20,10,4072.980675,,,
20,11,4149.254479,,,
20,12,4078.920731,,,
20,13,3892.291567,,,
20,14,4153.980069,,,
20,15,4086.176786,,,
20,16,3947.398086,,,
20,17,3699.996406,,,
20,18,3978.649911,,,
20,19,3992.046379,,,
20,20,3807.084951,,,
